days_rel_to_CRS,cytokine,num_patients,carHLH_pos,carHLH_neg,carHLH_pos_mean,carHLH_neg_mean,carHLH_pos_log10_mean,carHLH_neg_log10_mean,carHLH_pos_log10_median,carHLH_neg_log10_median,carHLH_pos_log10_IQR,carHLH_neg_log10_IQR,wilcox_pvalue,log2fc,padj_FDR
-3,IL-10,26,11,15,4.934545455,4.374,0.514949878,0.46839976,0.670245853,0.50242712,0.883083756,0.600984234,0.716195435,0.173963977,0.918816851
-2,IL-10,40,16,24,8.91625,7.8325,0.708027973,0.672057523,0.674273144,0.642270634,0.557532373,0.616937961,0.740410249,0.186964204,0.774498437
-1,IL-10,32,15,17,11.86333333,15.87823529,0.904771868,1.00109603,1.033021445,0.976349979,0.454053604,0.804455648,0.628085299,-0.420541148,0.752489736
0,IL-10,41,17,24,64.12823529,38.49375,1.475256855,1.320718206,1.391111614,1.390608473,0.739077004,0.722240853,0.393944444,0.736335484,0.793709946
1,IL-10,35,15,20,65.252,77.0235,1.688843639,1.558210741,1.770557475,1.580540397,0.467326438,0.645455322,0.346712272,-0.23927656,0.857567288
2,IL-10,42,18,24,182.5572222,65.16041667,2.010369059,1.517859623,1.90914093,1.481965655,0.615604178,0.813846127,0.016314014,1.486281011,0.081570071
3,IL-10,34,16,18,228.5325,111.2866667,2.045052707,1.522008598,2.081238463,1.398449238,0.580512256,0.934769208,0.024651553,1.038118595,0.050901403
4,IL-10,40,18,22,183.1566667,76.97045455,2.002902591,1.387107267,2.058221829,1.29776222,0.688893934,0.529754964,0.001467911,1.250701542,0.005504668
5,IL-10,36,18,18,175.6722222,25.57944444,1.711533191,1.048556509,1.591054099,1.010352965,1.472724018,0.56242409,0.009630883,2.77982925,0.018057905
6,IL-10,40,20,20,91.604,11.456,1.395624659,0.859001771,1.150969879,0.777836158,0.83413794,0.638829865,0.016742394,2.999307199,0.027824284
7,IL-10,34,17,17,27.55882353,10.23882353,1.111792508,0.779861699,1.170848204,0.67669361,0.918124503,0.612751854,0.098246259,1.428464347,0.147369388
8,IL-10,34,17,17,30.09058824,9.614117647,1.13187048,0.747515954,1.07773118,0.605305046,0.623284701,0.702500873,0.041029057,1.646085947,0.068381761
9,IL-10,28,16,12,19.43875,7.508333333,1.035229833,0.754780096,0.885800354,0.789222755,0.64626848,0.395691099,0.205310377,1.372370845,0.439950809
10,IL-10,34,18,16,17.32277778,6.598125,1.050365335,0.639889857,1.020505169,0.610072357,0.604875996,0.480666344,0.011004592,1.392542276,0.055022959
-10,IL-12p70,9,1,8,0.25,0.44525,-0.602059991,-0.470144679,-0.602059991,-0.576831444,0,0.091123486,0.845171118,-0.832687516,0.957264957
-9,IL-12p70,13,4,9,0.2625,0.290222222,-0.581687159,-0.544830173,-0.593543322,-0.585026652,0.028889502,0.079181246,0.813663716,-0.144840568,0.952124798
-8,IL-12p70,22,9,13,0.265555556,0.331538462,-0.580939011,-0.502396431,-0.602059991,-0.537602002,0.017033339,0.158362492,0.119758446,-0.320162534,0.898188348
-7,IL-12p70,29,14,15,0.247285714,0.260133333,-0.607279034,-0.585946627,-0.602059991,-0.602059991,0.017728767,0.040486077,0.107465236,-0.07307238,0.444170088
-6,IL-12p70,26,10,16,0.3132,0.298875,-0.521402336,-0.532210092,-0.576831444,-0.553119119,0.09226364,0.076754413,0.791238868,0.067541988,0.978972735
-5,IL-12p70,25,8,17,0.24875,0.271294118,-0.606970269,-0.572742348,-0.610924375,-0.602059991,0.027175907,0.033423755,0.102532203,-0.125161241,0.512661015
-4,IL-12p70,31,12,19,0.251,0.266842105,-0.601299979,-0.576883887,-0.602059991,-0.585026652,0.034762106,0.064457989,0.162492669,-0.088298964,0.952255301
-3,IL-12p70,26,11,15,0.273636364,0.2516,-0.578552925,-0.600013919,-0.602059991,-0.602059991,0.017728767,0.024443374,0.767304699,0.121128041,0.918816851
-2,IL-12p70,40,16,24,0.250125,0.26725,-0.602787183,-0.576950423,-0.602059991,-0.602059991,0.032059013,0.078582632,0.255724869,-0.095540686,0.753628353
-1,IL-12p70,32,15,17,0.248666667,0.262588235,-0.604853899,-0.585689595,-0.602059991,-0.602059991,0.026245437,0.031157982,0.652157771,-0.078589151,0.752489736
0,IL-12p70,41,17,24,0.607176471,0.29725,-0.493250426,-0.545031603,-0.602059991,-0.602059991,0.031157982,0.082712407,0.458258288,1.030439074,0.793709946
1,IL-12p70,35,15,20,0.410666667,0.2722,-0.535100565,-0.573806357,-0.602059991,-0.602059991,0.025897723,0.031157982,0.944747973,0.593300783,1
2,IL-12p70,42,18,24,3.285,0.423333333,-0.180208122,-0.435340306,-0.585026652,-0.530240374,0.806621423,0.34221231,0.857915536,2.956027374,0.919195217
3,IL-12p70,34,16,18,1.63875,0.578555556,-0.272666661,-0.467595676,-0.593543322,-0.602059991,0.798553992,0.029326151,0.647749326,1.502068375,0.647749326
4,IL-12p70,40,18,22,3.370666667,0.439636364,-0.13638725,-0.440237667,-0.538637271,-0.553119119,0.809406344,0.243016613,0.390523057,2.938651337,0.450603527
5,IL-12p70,36,18,18,2.240555556,1.036777778,-0.142334402,-0.458218755,-0.560739102,-0.602059991,0.842152841,0.027626821,0.047041787,1.111749798,0.054278985
6,IL-12p70,40,20,20,1.0331,0.2646,-0.288186638,-0.57933896,-0.525061148,-0.602059991,0.461376441,0.041182314,0.013978982,1.965094941,0.026210592
7,IL-12p70,34,17,17,0.507647059,0.288941176,-0.417424617,-0.559081241,-0.585026652,-0.602059991,0.318063335,0.017033339,0.075868335,0.813049999,0.142253128
8,IL-12p70,34,17,17,0.572352941,0.268941176,-0.391290382,-0.575542459,-0.48148606,-0.602059991,0.264817823,0.017033339,0.014737463,1.089614401,0.036843658
9,IL-12p70,28,16,12,0.38875,0.353333333,-0.510031615,-0.499913582,-0.593543322,-0.602059991,0.077877718,0.114983152,0.924920337,0.137812816,0.980963739
10,IL-12p70,34,18,16,0.561666667,0.27825,-0.46317095,-0.565049141,-0.593543322,-0.602059991,0.136806178,0.059888802,0.623955398,1.013332498,0.85084827
-10,IL-13,9,1,8,0.25,0.60525,-0.602059991,-0.312436206,-0.602059991,-0.427868613,0,0.3600626,0.222222222,-1.275603079,0.957264957
-9,IL-13,13,4,9,0.56,0.572222222,-0.292038953,-0.301432274,-0.239954836,-0.161150909,0.247174351,0.465840244,0.816215886,-0.031148699,0.952124798
-8,IL-13,22,9,13,0.553333333,0.721538462,-0.317906266,-0.202508163,-0.180456064,-0.119186408,0.391691059,0.311753861,0.116375293,-0.382927464,0.898188348
-7,IL-13,29,14,15,0.404,0.4768,-0.439310164,-0.367180381,-0.540775129,-0.387216143,0.285332288,0.402602524,0.237429561,-0.239028943,0.579211666
-6,IL-13,26,10,16,1.2196,0.588625,-0.184926803,-0.286069298,-0.253969198,-0.13667714,0.5508319,0.425382249,0.957902497,1.050987333,0.978972735
-5,IL-13,25,8,17,1.15875,0.429294118,-0.268411707,-0.408874572,-0.410224104,-0.48148606,0.404570588,0.237528954,0.906962674,1.432531029,0.977263713
-4,IL-13,31,12,19,0.597166667,0.567368421,-0.269650708,-0.306555063,-0.220046687,-0.161150909,0.249857968,0.4608861,0.823071623,0.073847783,0.952255301
-3,IL-13,26,11,15,0.512727273,0.447466667,-0.373656628,-0.411054071,-0.508638306,-0.537602002,0.404570588,0.316075843,0.91687386,0.196411424,0.918816851
-2,IL-13,40,16,24,0.48975,0.53925,-0.351421846,-0.317863525,-0.361769098,-0.268950809,0.3735908,0.446629791,0.447082861,-0.138908779,0.753628353
